,glycolysis_score,oxphos_score,metabolic_ratio,metabolic_label
TCGA-AR-A1AR,0.09581707475938644,-0.36384838907600037,0.4596654638353868,Glycolytic
TCGA-AR-A1AS,0.321732324108147,0.3108922105802413,0.010840113527905704,Mixed
TCGA-AR-A1AT,-0.008107290757226503,-0.2690888465782181,0.2609815558209916,Glycolytic
TCGA-AR-A1AU,0.3699177311683934,-0.4163125688376081,0.7862303000060015,Glycolytic
TCGA-AR-A1AV,-0.4547999054939119,-0.31227835395989556,-0.14252155153401636,Mixed
TCGA-AR-A1AW,-0.16480571573866704,-0.5744656044556457,0.4096598887169786,Glycolytic
TCGA-AR-A1AX,-0.07175808160422029,-0.4294358777626852,0.35767779615846496,Glycolytic
TCGA-AR-A1AY,0.338385024163269,-0.6147900337362657,0.9531750578995347,Glycolytic
TCGA-AR-A24H,-0.3933538105236142,-0.3919133156991782,-0.0014404948244359783,Mixed
TCGA-AR-A24K,-0.09981972386319465,-0.21523542164727458,0.11541569778407992,Mixed
TCGA-AR-A24L,-0.4708641525008107,-0.4857878422529606,0.014923689752149916,Mixed
TCGA-AR-A24M,-0.6964757071724123,-0.44616168905627396,-0.2503140181161383,Oxidative
TCGA-AR-A24N,-0.3398550866345316,-0.03718826585705725,-0.30266682077747437,Oxidative
TCGA-AR-A24O,-0.44119279621191165,-0.5651629823541452,0.12397018614223354,Mixed
TCGA-AR-A24P,-0.2447898522104526,-0.6854855833236503,0.4406957311131977,Glycolytic
TCGA-AR-A24Q,0.3856796397017042,0.3315746855819924,0.054104954119711834,Mixed
TCGA-AR-A24R,0.12077243442708892,-0.3936087416415267,0.5143811760686157,Glycolytic
TCGA-AR-A24S,-0.05492470119616993,-0.6558552175334992,0.6009305163373293,Glycolytic
TCGA-AR-A24T,-0.6015410763048396,-0.4896941511468031,-0.11184692515803646,Mixed
TCGA-AR-A24U,0.3917205287446016,-0.08941546848707332,0.48113599723167494,Glycolytic
TCGA-AR-A24V,0.1191758246667228,-0.34231087679374966,0.46148670146047244,Glycolytic
TCGA-AR-A24W,-0.4461185563684387,-0.4068311648054121,-0.03928739156302663,Mixed
TCGA-AR-A24X,-0.46576852877794,-0.4497248643629762,-0.0160436644149638,Mixed
TCGA-AR-A24Z,-0.49653484499175704,-0.388443581324245,-0.10809126366751204,Mixed
TCGA-AR-A250,0.1518605129441082,-0.5515281878056806,0.7033887007497888,Glycolytic
TCGA-AR-A251,-0.4396433594547546,-0.36602600018040277,-0.07361735927435181,Mixed
TCGA-AR-A252,0.04703079430289754,-0.38651055471448414,0.43354134901738167,Glycolytic
TCGA-AR-A254,0.24848295931729017,-0.13400564442129895,0.3824886037385891,Glycolytic
TCGA-AR-A255,-0.2057351291957001,-0.22046721038385936,0.014732081188159246,Mixed
TCGA-AR-A256,0.3046805938364078,0.61748451668087,-0.31280392284446223,Oxidative
TCGA-AR-A2LE,-0.49734792826544044,0.08435381011287464,-0.5817017383783151,Oxidative
TCGA-AR-A2LH,0.10828372379802487,0.11097215830482357,-0.0026884345067987037,Mixed
TCGA-AR-A2LJ,0.3142590762264049,0.46483688856856686,-0.15057781234216194,Mixed
TCGA-AR-A2LK,-0.25164751904678545,-0.29840878786269,0.04676126881590453,Mixed
TCGA-AR-A2LM,-0.7226439312712553,-1.0403512727875033,0.317707341516248,Glycolytic
TCGA-AR-A2LN,-0.3360129209611,-0.896158913325748,0.560145992364648,Glycolytic
TCGA-AR-A2LO,-0.674346944514788,-0.515770988555979,-0.15857595595880902,Oxidative
TCGA-AR-A2LQ,-0.20378321464187207,-0.40565322463530795,0.20187000999343588,Glycolytic
TCGA-AR-A5QM,-0.14879251536827776,0.005356072524896422,-0.15414858789317418,Mixed
TCGA-AR-A5QN,-0.38237514460239375,0.025692505667052046,-0.4080676502694458,Oxidative
TCGA-AR-A5QP,-0.24782695683004807,0.07112295350588209,-0.3189499103359302,Oxidative
TCGA-AR-A5QQ,0.8734477774489977,0.6076131191196936,0.2658346583293041,Glycolytic
TCGA-B6-A0I1,1.0746056065684881,0.8038737593941454,0.27073184717434273,Glycolytic
TCGA-B6-A0IK,0.375411090029194,1.0681304556996172,-0.6927193656704231,Oxidative
TCGA-B6-A0RE,0.4790561470852512,-0.05007871578427534,0.5291348628695265,Glycolytic
TCGA-B6-A0RG,-0.09991196548015897,0.3333444492727372,-0.43325641475289617,Oxidative
TCGA-B6-A0RI,-0.09501602794365219,-0.3099895831045204,0.21497355516086822,Glycolytic
TCGA-B6-A0RL,-0.12473669030938085,-0.12635981636042248,0.0016231260510416318,Mixed
